Date,zone,centre,Price
24-02-93,2,AHMEDABAD,NA
24-02-93,2,RAJKOT,NA
24-02-93,2,PANAJI,NA
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,NA
24-02-93,2,NAGPUR,NA
24-02-93,2,JAIPUR,NA
24-02-93,2,JODHPUR,NA
24-02-93,3,GUWAHATI,NA
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,NA
24-02-93,3,CUTTACK,NA
24-02-93,3,KOLKATA,NA
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,NA
24-02-93,4,VIJAYAWADA,NA
24-02-93,4,BANGALORE,NA
24-02-93,4,THIRUVANANTHAPURAM,NA
24-02-93,4,ERNAKULAM,NA
24-02-93,4,CHENNAI,NA
24-02-93,4,MADURAI,NA
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,NA
03-03-93,1,KARNAL,NA
03-03-93,1,SHIMLA,NA
03-03-93,1,MANDI,NA
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,NA
03-03-93,1,AMRITSAR,NA
03-03-93,1,LUDHIANA,NA
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,NA
03-03-93,1,DELHI,NA
03-03-93,2,AHMEDABAD,NA
03-03-93,2,RAJKOT,NA
03-03-93,2,PANAJI,NA
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,NA
03-03-93,2,NAGPUR,NA
03-03-93,2,JAIPUR,NA
03-03-93,2,JODHPUR,NA
03-03-93,3,GUWAHATI,NA
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,NA
03-03-93,3,CUTTACK,NA
03-03-93,3,KOLKATA,NA
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,NA
03-03-93,4,VIJAYAWADA,NA
03-03-93,4,BANGALORE,NA
03-03-93,4,THIRUVANANTHAPURAM,NA
03-03-93,4,ERNAKULAM,NA
03-03-93,4,CHENNAI,NA
03-03-93,4,MADURAI,NA
03-03-93,4,PONDICHERRY,NA
10-03-93,1,HISAR,NA
10-03-93,1,KARNAL,NA
10-03-93,1,SHIMLA,NA
10-03-93,1,MANDI,NA
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,NA
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,NA
10-03-93,1,KANPUR,NA
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,NA
10-03-93,2,AHMEDABAD,NA
10-03-93,2,RAJKOT,NA
10-03-93,2,PANAJI,NA
10-03-93,2,BHOPAL,NA
10-03-93,2,INDORE,NA
10-03-93,2,MUMBAI,NA
10-03-93,2,NAGPUR,NA
10-03-93,2,JAIPUR,NA
10-03-93,2,JODHPUR,NA
10-03-93,3,GUWAHATI,NA
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,NA
10-03-93,3,AIZAWL,NA
10-03-93,3,BHUBANESHWAR,NA
10-03-93,3,CUTTACK,NA
10-03-93,3,KOLKATA,NA
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,NA
10-03-93,4,VIJAYAWADA,NA
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,NA
10-03-93,4,MADURAI,NA
10-03-93,4,PONDICHERRY,NA
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,NA
17-03-93,1,MANDI,NA
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,NA
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,NA
17-03-93,1,KANPUR,NA
17-03-93,1,CHANDIGARH,NA
17-03-93,1,DELHI,NA
17-03-93,2,AHMEDABAD,NA
17-03-93,2,RAJKOT,NA
17-03-93,2,PANAJI,NA
17-03-93,2,BHOPAL,NA
17-03-93,2,INDORE,NA
17-03-93,2,MUMBAI,NA
17-03-93,2,NAGPUR,NA
17-03-93,2,JAIPUR,NA
17-03-93,2,JODHPUR,NA
17-03-93,3,GUWAHATI,NA
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,NA
17-03-93,3,BHUBANESHWAR,NA
17-03-93,3,CUTTACK,NA
17-03-93,3,KOLKATA,NA
17-03-93,3,AGARTALA,NA
17-03-93,4,HYDERABAD,NA
17-03-93,4,VIJAYAWADA,NA
17-03-93,4,BANGALORE,NA
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,NA
17-03-93,4,MADURAI,NA
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,NA
24-03-93,1,KARNAL,NA
24-03-93,1,SHIMLA,NA
24-03-93,1,MANDI,NA
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,NA
24-03-93,1,KANPUR,NA
24-03-93,1,CHANDIGARH,NA
24-03-93,1,DELHI,NA
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,NA
24-03-93,2,INDORE,NA
24-03-93,2,MUMBAI,NA
24-03-93,2,NAGPUR,NA
24-03-93,2,JAIPUR,NA
24-03-93,2,JODHPUR,NA
24-03-93,3,GUWAHATI,NA
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,NA
24-03-93,3,CUTTACK,NA
24-03-93,3,KOLKATA,NA
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,NA
24-03-93,4,VIJAYAWADA,NA
24-03-93,4,BANGALORE,NA
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,NA
24-03-93,4,MADURAI,NA
24-03-93,4,PONDICHERRY,NA
31-03-93,1,HISAR,NA
31-03-93,1,KARNAL,NA
31-03-93,1,SHIMLA,NA
31-03-93,1,MANDI,NA
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,NA
31-03-93,1,KANPUR,NA
31-03-93,1,CHANDIGARH,NA
31-03-93,1,DELHI,NA
31-03-93,2,AHMEDABAD,NA
31-03-93,2,RAJKOT,NA
31-03-93,2,PANAJI,NA
31-03-93,2,BHOPAL,NA
31-03-93,2,INDORE,NA
31-03-93,2,MUMBAI,NA
31-03-93,2,NAGPUR,NA
31-03-93,2,JAIPUR,NA
31-03-93,2,JODHPUR,NA
31-03-93,3,GUWAHATI,NA
31-03-93,3,PATNA,NA
31-03-93,3,SHILLONG,NA
31-03-93,3,AIZAWL,NA
31-03-93,3,BHUBANESHWAR,NA
31-03-93,3,CUTTACK,NA
31-03-93,3,KOLKATA,NA
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,NA
31-03-93,4,VIJAYAWADA,NA
31-03-93,4,BANGALORE,NA
31-03-93,4,THIRUVANANTHAPURAM,NA
31-03-93,4,ERNAKULAM,NA
31-03-93,4,CHENNAI,NA
31-03-93,4,MADURAI,NA
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,NA
07-04-93,1,KARNAL,NA
07-04-93,1,SHIMLA,NA
07-04-93,1,MANDI,NA
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,NA
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,NA
07-04-93,1,KANPUR,NA
07-04-93,1,CHANDIGARH,NA
07-04-93,1,DELHI,NA
07-04-93,2,AHMEDABAD,NA
07-04-93,2,RAJKOT,NA
07-04-93,2,PANAJI,NA
07-04-93,2,BHOPAL,NA
07-04-93,2,INDORE,NA
07-04-93,2,MUMBAI,NA
07-04-93,2,NAGPUR,NA
07-04-93,2,JAIPUR,NA
07-04-93,2,JODHPUR,NA
07-04-93,3,GUWAHATI,NA
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,NA
07-04-93,3,BHUBANESHWAR,NA
07-04-93,3,CUTTACK,NA
07-04-93,3,KOLKATA,NA
07-04-93,3,AGARTALA,NA
