STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
UTTAR PRADESH,2013,Landslide,1,2,11,3,1,18,2,1,4,3,0,10,28
UTTAR PRADESH,2013,Lightning,20,68,58,59,12,217,8,16,32,16,5,77,294
UTTAR PRADESH,2013,Torrential rains,1,2,4,7,7,21,1,0,6,1,1,9,30
UTTAR PRADESH,2013,Other Natural Causes,83,329,504,447,239,1602,25,127,157,99,82,490,2092
UTTAR PRADESH,2013,Total,124,437,659,601,359,2180,38,154,205,144,113,654,2834
UTTARAKHAND,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Cold and Exposure,0,2,6,11,3,22,1,0,0,0,0,1,23
UTTARAKHAND,2013,Cyclone/tornado,0,0,0,1,0,1,0,0,0,0,0,0,1
UTTARAKHAND,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Flood,0,4,4,3,1,12,0,0,1,0,0,1,13
UTTARAKHAND,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2013,Landslide,0,1,4,9,0,14,0,3,4,0,0,7,21
UTTARAKHAND,2013,Lightning,0,1,0,0,0,1,0,0,0,0,0,0,1
UTTARAKHAND,2013,Torrential rains,4,6,14,15,6,45,1,5,3,4,5,18,63
UTTARAKHAND,2013,Other Natural Causes,2,11,26,29,28,96,1,7,5,4,1,18,114
UTTARAKHAND,2013,Total,6,25,54,68,38,191,3,15,13,8,6,45,236
WEST BENGAL,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Cold and Exposure,0,0,0,0,10,10,0,0,0,0,7,7,17
WEST BENGAL,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Flood,0,0,0,1,0,1,0,0,0,0,0,0,1
WEST BENGAL,2013,Heat Stroke,3,1,3,14,12,33,6,0,0,2,4,12,45
WEST BENGAL,2013,Landslide,0,0,0,0,0,0,0,1,0,0,0,1,1
WEST BENGAL,2013,Lightning,14,34,43,37,3,131,5,14,10,10,2,41,172
WEST BENGAL,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2013,Other Natural Causes,45,226,320,291,183,1065,27,74,116,95,87,399,1464
WEST BENGAL,2013,Total,62,261,366,343,208,1240,38,89,126,107,100,460,1700
A & N ISLANDS,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Cold and Exposure,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Other Natural Causes,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2013,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Cold and Exposure,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Other Natural Causes,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2013,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Cold and Exposure,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
